q_id,answer_content,Correct?
1,"utilização dos rendimentos, em ambos os casos.",true
1,"consumo e investimento, respetivamente.",false
1,"realização de investimentos, em ambos os casos.",false
1,"capital e poupança, respetivamente.",false
2,I; V; II; III; IV,true
2,I; V; IV; III; II,false
2,IV; I; II; V; III,false
2,IV; I; V; III; II,false
3,"do total de impostos sobre a produção, depois de deduzidos os subsídios de exploração.",true
3,dos subsídios à produção de produtos finais e à importação de matérias-primas.,false
3,do consumo de capital fixo/amortização calculado para o conjunto de uma economia.,false
3,dos consumos intermédios realizados nos vários processos produtivos de bens e serviços.,false
4,I e III se referem ao investimento material; a afirmação II refere-se ao investimento financeiro.,true
4,I e II se referem ao investimento financeiro; a afirmação III refere-se ao investimento imaterial.,false
4,I e II se referem ao investimento material; a afirmação III refere-se ao investimento imaterial.,false
4,I e III se referem ao investimento imaterial; a afirmação II refere-se ao investimento material.,false
5,um aumento do preço e uma redução da quantidade procurada dos bens provenientes do país A.,true
5,uma redução do preço e da quantidade procurada dos bens provenientes do país A.,false
5,um aumento do preço e da quantidade procurada dos bens provenientes do país A.,false
5,uma redução do preço e um aumento da quantidade procurada dos bens provenientes do país A.,false
6,a política fiscal dos países da área do euro.,true
6,a taxa de juro diretora para garantir a estabilidade de preços.,false
6,a política orçamental dos países da área do euro.,false
6,a taxa de atualização salarial para impedir o crescimento de preços.,false
7,"consumo final, e o conjunto dos novos autocarros é considerado uma parcela da formação bruta de
capital fixo dessa empresa.",true
7,"consumo final, e o conjunto dos novos autocarros é considerado uma parcela da variação de
existências dessa empresa.",false
7,"investimento material, e o conjunto dos novos autocarros é considerado uma parcela da variação de
existências dessa empresa.",false
7,"investimento material, e o conjunto dos novos autocarros é considerado uma parcela da formação
bruta de capital fixo dessa empresa.",false
8,"os poucos produtores suportam custos de produção iguais, ao comercializarem bens diferenciados.",true
8,"os poucos produtores suportam custos de produção iguais, ao comercializarem bens homogéneos.",false
8,"os muitos produtores comercializam bens diferenciados e, por isso, conseguem influenciar o preço de
venda.",false
8,"os muitos produtores comercializam bens homogéneos e, por isso, conseguem influenciar o preço de
venda.",false
9,economias de escala.,true
9,rendimentos marginais constantes.,false
9,deseconomias de escala.,false
9,rendimentos marginais decrescentes.,false
