q_id,question_content,s_id,exam_paper_year,exam_paper_link
1,"A aquisição de um automóvel e a constituição de um depósito a prazo pela família A são exemplos
de atividades económicas designadas por",4,2020,https://iave.pt/wp-content/uploads/2021/01/EX-EconA712-F1-2020-V1_net.pdf
2,"No estudo da integração económica, as diversas formas de integração, a seguir mencionadas, representam
diferentes graus de aprofundamento.

I. Zona de comércio livre
II. União económica
III. Mercado comum
IV. Sistema de preferências aduaneiras
V. União aduaneira

Selecione a opção que corresponde à ordenação das formas de integração económica por ordem crescente
de aprofundamento.",4,2020,https://iave.pt/wp-content/uploads/2021/01/EX-EconA712-F1-2020-V1_net.pdf
3,"De acordo com a contabilidade nacional, a diferença entre rendimento nacional bruto, calculado a preços
correntes, e rendimento nacional líquido, calculado a preços correntes, corresponde ao valor",4,2020,https://iave.pt/wp-content/uploads/2021/01/EX-EconA712-F1-2020-V1_net.pdf
4,"Considere as seguintes afirmações, relativas aos diversos tipos de investimento, num determinado país.

I.  Uma empresa adquiriu novas máquinas destinadas à linha de produção de um novo bem.
II. Uma empresa participou no aumento de capital social de outra empresa através da compra de novas
ações.
III.  Uma empresa, com o objetivo de aumentar a produtividade do trabalho, adquiriu e instalou novos
equipamentos de telecomunicações.

É correto afirmar que, no contexto deste país, as afirmações",4,2020,https://iave.pt/wp-content/uploads/2021/01/EX-EconA712-F1-2020-V1_net.pdf
5,"A desvalorização da moeda do país A relativamente à moeda do país B provoca o aumento do número
de unidades monetárias do país A que é possível adquirir com uma unidade monetária do país B. Assim,
considerando-se tudo o resto constante, podemos afirmar que ocorre, como efeito de curto prazo, no
mercado interno do país B,",4,2020,https://iave.pt/wp-content/uploads/2021/01/EX-EconA712-F1-2020-V1_net.pdf
6,Uma das competências do Banco Central Europeu (BCE) consiste em definir,4,2020,https://iave.pt/wp-content/uploads/2021/01/EX-EconA712-F1-2020-V1_net.pdf
7,"Numa dada economia, uma empresa privada de transporte rodoviário de passageiros decidiu despender
100 milhões de euros na compra de novos autocarros, com o objetivo de retirar de circulação os veículos
degradados, proporcionando uma melhoria da qualidade do serviço prestado.

Para a empresa, a aquisição dos novos autocarros constitui um exemplo de",4,2019,https://iave.pt/wp-content/uploads/2020/02/EX-EconA712-F1-2019-V1_net.pdf
8,"Num mercado de concorrência monopolística, um pequeno produtor consegue, no curto prazo, praticar um
preço superior ao preço que vigoraria se o mercado fosse de concorrência perfeita.

Esta afirmação é verdadeira, pois, no mercado de concorrência monopolística, ao contrário do que sucede
no mercado de concorrência perfeita,",4,2019,https://iave.pt/wp-content/uploads/2020/02/EX-EconA712-F1-2019-V1_net.pdf
9,"Uma empresa aumentou a produção, tendo registado, a longo prazo, um aumento de 10% na quantidade
produzida e uma redução de 18% no custo médio de produção.

Com base na situação descrita, podemos afirmar que a referida empresa obteve",4,2019,https://iave.pt/wp-content/uploads/2020/02/EX-EconA712-F1-2019-V1_net.pdf
10,Constitui exemplo de um fluxo real das empresas não financeiras para as famílias,4,2019,https://iave.pt/wp-content/uploads/2020/02/EX-EconA712-F1-2019-V1_net.pdf
